iter	Passed	Remaining
0	123	61754
1	316	78707
2	468	77533
3	564	69964
4	748	74112
5	963	79315
6	1145	80659
7	1345	82722
8	1544	84282
9	1726	84616
10	1924	85548
11	2099	85380
12	2283	85550
13	2445	84903
14	2553	82566
15	2708	81918
16	2869	81531
17	3073	82306
18	3244	82148
19	3440	82563
20	3642	83077
21	3838	83403
22	4022	83426
23	4224	83792
24	4410	83799
25	4632	84450
26	4758	83364
27	4953	83499
28	5159	83792
29	5355	83903
30	5525	83599
31	5700	83363
32	5797	82038
33	5905	80944
34	6081	80792
35	6183	79697
36	6337	79302
37	6549	79632
38	6679	78952
39	6773	77898
40	6869	76903
41	6955	75852
42	7070	75142
43	7170	74313
44	7295	73770
45	7467	73704
46	7655	73788
47	7856	73978
48	8053	74125
49	8255	74299
50	8451	74403
51	8639	74433
52	8739	73706
53	8861	73192
54	8952	72436
55	9058	71819
56	9258	71958
57	9365	71368
58	9556	71431
59	9732	71369
60	9919	71386
61	10130	71566
62	10325	71621
63	10518	71656
64	10723	71766
65	10922	71825
66	11095	71705
67	11297	71775
68	11511	71903
69	11701	71878
70	11888	71835
71	12102	71940
72	12304	71973
73	12503	71980
74	12690	71913
75	12804	71438
76	12977	71291
77	13180	71310
78	13379	71298
79	13574	71264
80	13777	71266
81	14030	71521
82	14231	71500
83	14425	71439
84	14610	71333
85	14803	71263
86	14996	71191
87	15094	70669
88	15201	70198
89	15306	69731
90	15414	69281
91	15572	69059
92	15762	68982
93	15938	68841
94	16126	68749
95	16284	68528
96	16446	68330
97	16621	68184
98	16822	68140
99	17026	68106
100	17155	67772
101	17261	67354
102	17364	66927
103	17466	66507
104	17577	66124
105	17674	65695
106	17780	65306
107	17934	65094
108	18136	65057
109	18338	65017
110	18519	64899
111	18720	64853
112	18912	64772
113	19035	64451
114	19146	64099
115	19246	63712
116	19356	63363
117	19452	62974
118	19642	62889
119	19841	62830
120	20010	62678
121	20213	62628
122	20392	62502
123	20569	62371
124	20745	62235
125	20944	62168
